followerID,followedID
15181839,14619600
14986456,11385232
11385232,14986456
899701,15335778
899701,9075622
899701,12374692
4818001,14982315
7585352,1337271
15526966,1337271
14097829,14342018
15011901,15566901
15011901,9721292
14835261,14982315
14835261,14124059
1958451,14159240
69053,15444539
69053,3370001
14317925,15390272
14317925,14707481
14976738,15074642
14615625,15293352
9496922,14996887
9496922,15635413
14996887,15566901
14996887,15658327
14996887,14262772
14996887,15599390
14452313,5625972
14452313,14547447
15023805,14297868
15023805,7081402
15023805,6602302
15845571,1337271
15845571,14982315
14885252,12831902
5125971,11267302
5125971,15706235
5125971,14262772
14106844,5654712
8934412,1291711
15432382,15663318
15432382,713143
8568352,15923797
8324232,10135372
8324232,5417332
14200145,12990922
11134252,15394954
11134252,5539902
14213776,15599390
14213776,14262772
7748942,5625972
15612061,14982315
12031452,15635413
14086373,15957636
14086373,15923700
15434930,14342018
795681,15923700
10460262,9075622
9680182,3243001
14174554,15658327
4370261,15923700
15955769,7081402
6899432,5654712
15818706,14982315
15658327,9721292
7095992,8324232
14134839,9569412
7581972,15094180
7581972,7081402
7581972,14982315
15923700,10479042
15923700,14901583
15923700,795681
15923700,4370261
15923700,14143921
15923700,5625972
15923700,14845626
15923700,5654712
15923700,14342018
848901,1337271
848901,899701
15047168,14982315
15047168,7081402
15047168,14124059
14294433,14947224
14294433,15289818
14294433,15247607
14294433,14342018
14294433,7581972
14294433,14517899
5417332,13113792
5417332,8324232
5417332,9113072
5417332,14982315
5417332,12754762
15390272,14317925
12375042,11134252
14296157,11134252
14296157,11162312
14296157,15304100
15743565,14982315
9908752,14056732
12773112,5625972
14143921,14102882
14251373,15428715
14251373,7215082
14251373,15566901
14251373,14297868
14251373,5625972
15577388,15635413
7614712,15394954
9569412,14134839
9569412,7215082
9569412,14687803
9569412,15211584
9834082,5654712
5654712,2061471
5654712,6753242
5654712,15048829
5654712,14859209
5654712,14947224
12884772,14297868
12884772,6600872
7304322,7081402
7304322,14200145
14173505,14262772
14173505,13461502
8923982,14279598
14901583,15923700
14901583,5654712
1337271,9075622
1337271,7081402
15121846,14996887
15121846,15444539
15121846,5654712
15121846,15566901
15121846,11134252
11162312,14296157
14899968,14124059
12754762,7081402
15914058,14996887
15914058,14297868
15914058,14262772
15914058,5625972
15914058,14143921
15914058,823434
15914058,15566901
12727,1337271
10245552,15444539
10245552,15293352
14342018,14517899
14342018,14297868
14342018,14296230
14342018,15434930
15706235,9075622
15706235,15411151
15706235,5125971
15706235,15566901
15706235,14262772
15706235,5625972
15706235,15658327
15706235,7867072
15220474,1337271
15220474,14137737
15247607,14517899
14124059,13461502
14124059,15756056
14124059,3370001
14352485,14137737
15110090,9406902
9319222,1337271
6644402,15289818
15756056,11134252
15756056,10025982
15756056,14124059
15957636,15428715
11211372,6456482
14811951,11134252
14811951,14370739
15635413,14582285
15635413,15591344
7185712,1337271
7185712,6111852
7185712,14143921
7185712,15267036
6798762,9166602
6798762,15094180
15741370,9721292
15741370,1337271
14848116,1337271
14848116,14982315
11175192,8923982
11175192,823434
11461102,7081402
15304100,11134252
5539902,15145355
5539902,15658327
5539902,15394954
5539902,11134252
3070141,1081531
15774828,14124059
8418482,15923700
8418482,11887042
8143492,11134252
8513352,14279598
8513352,14390690
8513352,1337271
11267302,5125971
11267302,14262772
11267302,9721292
15950429,15635413
15533023,9721292
15533023,1337271
14820509,6753242
14779005,7581972
14840612,6753242
14840612,15293352
14840612,32693
14840612,15658327
14840612,14266253
14840612,9908752
14840612,11867802
14840612,3070141
15411151,12442612
15411151,14102882
15411151,7867072
15411151,15658327
15411151,15706235
15411151,14143921
15591344,15635413
15386145,14941525
14864544,5654712
12721712,29803
14947224,14364163
14947224,14262772
14947224,823434
14947224,9569412
14947224,5654712
14947224,14846859
14102882,15411151
14102882,7867072
14102882,14143921
12374692,8513352
12374692,899701
12374692,14279598
14364163,14947224
15243900,11134252
14687803,9569412
823434,9075622
11388972,3243001
29803,12721712
29803,14297868
29803,14262772
29803,15293352
29803,848901
29803,5625972
29803,2877541
15927003,14296157
15927003,15304100
6798482,11134252
15058411,1337271
15428715,15842676
15428715,15293352
15428715,15691291
15428715,7705112
6800762,10025982
6800762,14517899
9379552,14619600
9379552,11653972
14294131,7215082
10038842,14124059
10038842,5625972
14237368,15385625
15484185,14982315
15634296,14420767
15634296,11230502
15057983,7215082
14932037,15318615
6456482,11211372
15087476,14137737
11230502,14262772
11230502,848901
11230502,14124059
14049267,14982315
1592211,15722135
2061471,14737271
14297868,14517899
14297868,14262772
14297868,9721292
14297868,10025982
14297868,15635413
14297868,15293352
10802012,7081402
725213,14281066
725213,15955769
725213,15293352
725213,10245552
725213,15635413
725213,14846859
725213,7705112
15422483,713143
11645942,14535802
1081531,3070141
5887032,14297868
5887032,14143921
5887032,7867072
5887032,15551795
5887032,15566901
32693,14982315
32693,6324852
32693,14840612
32693,7081402
32693,2877541
11345222,14137737
11345222,7581972
801972,34743
15580650,14845626
15580650,15448929
14754019,14517899
14754019,14414803
14754019,14342018
14754019,15599390
14370739,14811951
14737271,2061471
14159240,14517899
14159240,14414803
14159240,748163
14159240,14294433
14159240,14297868
14159240,15293352
14159240,14262772
34743,801972
34743,1337271
14467331,14137737
15335778,899701
15335778,3370001
1291711,15048829
15397836,14452313
15094180,7581972
15094180,6798762
15094180,14982315
15467920,15254388
14468325,7215082
14984662,11134252
14846859,2877541
14846859,15254388
14846859,2027381
14846859,15293352
14846859,14947224
14846859,9075622
14846859,725213
14846859,14251373
14846859,7705112
14846859,14517899
14846859,14504267
9075622,1337271
9075622,14973634
9075622,14262772
9075622,15524929
9075622,899701
9075622,5625972
9075622,7705112
9075622,823434
14262772,14173505
15277487,1337271
15208020,14342018
10875922,823434
3243001,14251373
3243001,11388972
14517899,14342018
14517899,5625972
14517899,14262772
14517899,14297868
14517899,2027381
14517899,15247607
14517899,15318615
14517899,7705112
14517899,15254388
14517899,10025982
14517899,14846859
14517899,15293352
14517899,14251373
12084772,15254388
12084772,14262772
15252159,8324232
15252159,14982315
15029856,5654712
15211584,9569412
14973634,14137737
15566901,14517899
15566901,14143921
9237452,1792571
14777796,1337271
15396452,14296157
15396452,14996887
15396452,5625972
15396452,11134252
15396452,15394954
7705112,14328272
7705112,14262772
7705112,15267036
7705112,725213
7705112,14846859
7705112,5625972
7705112,15923797
7705112,15428715
7705112,9075622
7705112,10245552
15318615,15293352
15318615,14262772
15318615,15411151
15318615,15240048
15318615,14517899
15318615,14840612
15318615,14932037
7867072,14596318
7867072,15842676
7867072,15706235
7867072,15937845
7867072,15467920
15937845,7867072
15599390,15247607
15599390,15293352
15599390,14996887
15599390,15845571
15599390,6753242
9721292,15658327
14998203,14982315
14998203,5625972
14859209,5654712
14859209,15566901
14859209,15551795
14859209,14804295
14593296,12754762
14593296,14973634
14593296,14137737
15337192,12095912
15337192,5625972
15171911,15635413
5625972,15396452
5625972,15706235
5625972,14982477
5625972,14452313
5625972,14420767
5625972,15349922
5625972,2877541
5625972,9075622
5625972,29803
14467566,1337271
15923797,14982315
15923797,15444539
15923797,14262772
15923797,11134252
15923797,6753242
15923797,10245552
15923797,9721292
15923797,15267036
15923797,15524929
15923797,9075622
15923797,8568352
15923797,7705112
15394954,6753242
15394954,14296157
15394954,11134252
15394954,5539902
15394954,15396452
8069292,14297868
15839478,14262772
15839478,6462892
10479042,15923700
15074642,14976738
12096412,5654712
12096412,15566901
12096412,11134252
14357119,15074642
11803052,10682742
14390690,8513352
14390690,5625972
15502064,15566901
14450776,14262772
713143,14173505
15677650,14619600
15677650,14342018
15677650,14982315
15677650,13081452
1837381,6612852
14707481,14342018
14707481,14317925
2027381,14159240
2027381,14517899
2027381,2877541
15554255,14708814
14279598,12374692
14307866,15599390
14307866,14342018
15691291,11211372
15691291,15428715
15908593,14262772
14619600,11134252
1262371,1337271
1262371,14982315
1262371,15663318
1262371,14137737
1262371,7081402
1262371,12356582
14354741,14976738
15385625,14237368
14982477,15023805
14982477,5625972
15293352,14159240
15293352,14414803
15293352,15444539
15293352,29803
15293352,6753242
7081402,12990922
7081402,14342018
7081402,1337271
7081402,14137737
7081402,7581972
7081402,14982315
7081402,15955769
7081402,9113072
7081402,12754762
6600872,12884772
15730225,9721292
15730225,15566901
14414803,14297868
14414803,15293352
15571428,1337271
12831902,11134252
14137737,7081402
14137737,14973634
10135372,14982315
10135372,8324232
14848078,1337271
14848078,7073182
13081452,14982315
13081452,8324232
15247112,5654712
820271,7081402
14804295,15057983
14804295,15293352
14804295,7215082
14804295,3243001
14804295,10245552
14628684,15842676
14628684,15658327
9113072,7081402
2877541,14846859
2877541,9166602
2877541,5625972
2877541,29803
2877541,32693
2877541,2027381
2877541,14982315
15447628,14517899
15447628,4370261
15447628,14281066
6545742,14262772
14464995,15635413
14464995,14996887
14464995,14124059
14464995,15265755
14281066,15447628
1792571,9237452
15780749,14420767
12980002,14984662
12980002,12356582
9406902,15110090
15601986,5417332
15601986,713143
15601986,9113072
14328272,14262772
14328272,7705112
9166602,15094180
9166602,6798762
9166602,5654712
12990922,1337271
12990922,7081402
12990922,15923700
12990922,713143
12990922,14200145
13461502,14173505
13461502,14124059
14522185,14124059
15265755,12095912
15265755,14464995
15265755,14262772
15265755,823434
15265755,11653972
10682742,11803052
10682742,11134252
9823892,7867072
15448929,15580650
15462243,15060134
9660672,6753242
9660672,14846859
9660672,12084772
9660672,15599390
9660672,9113072
9660672,14517899
9660672,15293352
9660672,5417332
9660672,14342018
3370001,14124059
3370001,69053
5911502,1337271
5911502,7406262
14982315,7081402
14439912,14996887
15665376,11134252
6966872,1337271
15524929,15267036
15524929,9075622
15524929,15923797
15524929,7705112
14301652,14062948
7465622,15842676
14062948,5625972
14062948,15957636
14062948,14297868
14062948,14301652
15384930,1337271
7111382,1337271
7111382,14982315
15625837,12356582
14543042,6545742
14543042,15390272
14543042,14262772
15267036,15524929
15267036,7705112
15267036,15923797
6462892,15839478
